Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,150.9762593135863,49.9673647340615,5.235357413369219,-0.33986713855915607,0.011800000000000033,0.0144,0.009199999999999986,789.3333333333333,0.00017597707457356335,0.00017597707457356335,0.00017597707457356335,0_1:0.007751344912272307,0_1:576
1,83.35572399345214,89.15387208313713,5.099650772095159,-0.3432484042938357,0.015199999999999991,0.0156,0.014800000000000035,789.3333333333333,0.00018074566854489095,0.00018074566854489095,0.00018074566854489095,1_3:0.010287395427919455; 1_2:0.006526422101308632; 1_0:0.007751344912272307,1_3:334.22222222222223; 1_2:327.1111111111111; 1_0:611.5555555555555
2,98.59603550146484,105.77393935997536,5.188291808430394,-0.3419316690031256,0.006000000000000005,0.006199999999999983,0.0058,789.3333333333333,0.0002461972283567889,0.0002461972283567889,0.0002461972283567889,2_1:0.006526422101308632,2_1:291.55555555555554
3,105.05108171233177,74.6515842502085,4.987485980533588,-0.3452928861203798,0.012499999999999956,0.0158,0.009199999999999986,789.3333333333333,0.001226421742951382,0.001226421742951382,0.001226421742951382,3_1:0.010287395427919455; 3_5:0.027239458175972592,3_1:298.66666666666663; 3_5:561.7777777777777
4,99.69341619764214,32.51127698601581,5.285344801433723,-0.3392342674107948,0.043199999999999905,0.026599999999999957,0.0598,789.3333333333333,0.00019394048703834003,0.00019394048703834003,0.00019394048703834003,4_5:0.005230544132568404,4_5:362.66666666666663
5,100.31142089858433,76.52276301071284,5.176089247495094,-0.34079297245074963,0.015800000000000036,0.0152,0.01639999999999997,789.3333333333333,0.0001574548982487621,0.0001574548982487621,0.0001574548982487621,5_4:0.005230544132568404; 5_6:0.018565684227520307; 5_3:0.027239458175972592,5_4:327.1111111111111; 5_6:256; 5_3:597.3333333333333
6,167.76400336938144,75.60750993512461,5.063876175153965,-0.34275836537159754,0.01980000000000004,0.026599999999999957,0.013,789.3333333333333,0.0015560582786257793,0.0015560582786257793,0.0015560582786257793,6_5:0.018565684227520307,6_5:291.55555555555554
